NM_BARR,ID_BARR,number,rc_usd,night,d-none,d-sli,d-mod,d-ext,d-com,collapsed,fatalities,losses,homeless,injured,str_lr,col_lr,occ_lr,hom_lr,inj_lr
CIENFUEGOS,125010101001.0,16591.022584080496,218404219,65178.0,3042.2917512,4731.9452956,2865.8180526,1687.3185139,4263.6480358,301.01394167,87.106627738,76652233,23378.434668,5918.2877836,35.09649824552621,1.814318196148021,133.6442169719844,35868.59779066556,9080.192371045443
MONTE RICO,125010101002.0,5169.0,405205784,49196.7,875.8382521999999,1818.0476502,947.7082887,497.45105484,1029.9548781,147.995219125,136.6460929039,125658468,14540.466466,3451.0625365,31.011025309545943,2.863130569259044,277.75459106789685,29555.77602969305,7014.825255555759
LOS SALADOS,125010101003.0,1840.0,152783732,16336.350000000002,297.96256386,637.0648255,340.92843696,181.22264453,382.8215202,55.47084096,47.1712655492,48978067,5015.5674947,1195.1610032,32.05712162542394,3.014719617391304,288.75033620851656,30701.88563969307,7315.961051275223
ENSANCHE LIBERTAD,125010101004.0,2760.0,453407722,17716.050000000003,473.4955769,996.2892065,508.92811167,263.26786969,518.01927787,71.022988447,40.2008274844,131132405,5019.7301668,1172.33597123,28.921519941108787,2.573296682862319,226.91755489739526,28334.36441418939,6617.366575675729
ALTOS DE VIREYA,125010101005.0,1477.0,530659938,6777.0,248.4444684,538.0586048,276.1275509,142.27675637000002,272.09258845,28.185211721,10.6004115473,155790072,2013.8810428,461.9503135,29.357797944894298,1.90827432098849,156.41746417736462,29716.409071860704,6816.442577836801
ENSANCHE BERMÚDEZ,125010101007.0,1510.0,126731085,9898.200000000003,261.4917081,528.8238686,271.76972772,143.17995979,304.73469962,42.289122624,25.947290841,36741765,2906.5802893,700.76180589,28.991912196584234,2.800604147284768,262.14150897132805,29364.73590450788,7079.689295932592
LA OTRA BANDA,125010101008.0,2708.0,340382584,19035.231621164512,588.046851,992.7219933,455.4655111,226.55865083,445.20712362,59.292433732999996,41.2206235305,83652728,4553.7368666,1061.92935953,24.576089299778875,2.189528572119646,216.5491040553898,23922.676420374537,5578.757225886778
BARACOA,125010101009.0,1073.0,263366544,5710.500000000001,212.0665352,389.0951021,189.02760745,96.06538450000001,186.74539045,26.089004803999998,12.2662772522,63168098,1437.2010381,330.41878743,23.984860267218252,2.431407717054986,214.80215834340245,25167.691762542683,5786.16211242448
LA JOYA,125010101010.0,2007.0,302060875,9605.917051734727,102.67244344,468.3677614,377.56489170000003,251.9443071,806.4505961,96.04742255,55.483842138600004,159927352,5106.6285681,1399.0102033,52.94540436382565,4.785621452416542,577.6006792457177,53161.28112076293,14564.046261958441
BELLA  VISTA,125010101011.0,3794.0,429743685,23005.34426006395,841.2207890999999,1377.8830507,632.77645336,316.06921189999997,626.05045046,80.783927815,49.3013231289,100195770,5583.2173763,1304.54544805,23.315239615116816,2.129254818529257,214.30378337995347,24269.218983139355,5670.619110510862
