NM_ZONA,ID_ZONA,number,rc_usd,night,fatalities,collapsed,losses,str_lr,col_lr,occ_lr
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,10601.8,1264.0,191456812,2.406323946091391,2.499604492959975,2472.60769176948
LA DELICIA,2.0,44628.0,7771897362,337268.6,61691.9,7567.0,1518769216,19.541807424945265,16.955722864569328,18291.62276001976
AEROPUERTO,3.0,6227.0,1307419419,69220.1,0.0,0.0,0,0.0,0.0,0.0
CENTRO,4.0,24490.0,4881306790,219732.8,2556.0,190.0,51455942,1.054142765767451,0.775826868109432,1163.230978715968
CHILLOS,5.0,23482.0,4951012813,147034.4,0.0,0.0,0,0.0,0.0,0.0
NORCENTRAL,6.0,1561.0,172740642,8643.2,0.0,0.0,0,0.0,0.0,0.0
NORTE,7.0,47022.0,14695707103,391841.8,98067.3,12643.0,4763185829,32.41209011276499,26.887414401769384,25027.268657912457
QUITUMBE,8.0,51627.0,6343312878,319111.3,714.0,98.0,8512626,0.134198425389672,0.189823154550913,223.74638566544027
TUMBACO,9.0,12695.0,3557048499,88464.3,0.0,0.0,0,0.0,0.0,0.0
NOROCCIDENTE,10.0,633.0,48090042,4494.6,0.0,0.0,0,0.0,0.0,0.0
CALDERON,11.0,23947.0,3772812761,158465.7,0.0,0.0,0,0.0,0.0,0.0
