NM_ZONA,ID_ZONA,number,rc_usd,night,fatalities,collapsed,losses,str_lr,col_lr,occ_lr
ELOY ALFARO,1.0,50568.0,7956402238,428770.0,0.0,0.0,0,0.0,0.0,0.0
LA DELICIA,2.0,44628.0,7771897362,337268.6,0.0,0.0,0,0.0,0.0,0.0
AEROPUERTO,3.0,6227.0,1307419419,69220.1,0.0,0.0,0,0.0,0.0,0.0
CENTRO,4.0,24490.0,4881306790,219732.8,0.0,0.0,0,0.0,0.0,0.0
CHILLOS,5.0,23482.0,4951012813,147034.4,6007.5,1290.0,353676166,7.143511428387447,5.493569542628396,4085.778566104259
NORCENTRAL,6.0,1561.0,172740642,8643.2,0.0,0.0,0,0.0,0.0,0.0
NORTE,7.0,47022.0,14695707103,391841.8,0.0,1.0,90822,0.000618020618974,0.00212666411467,0.0
QUITUMBE,8.0,51627.0,6343312878,319111.3,0.0,0.0,0,0.0,0.0,0.0
TUMBACO,9.0,12695.0,3557048499,88464.3,989.0,75.0,39889661,1.12142583133996,0.590783773139031,1117.9651000460071
NOROCCIDENTE,10.0,633.0,48090042,4494.6,0.0,0.0,0,0.0,0.0,0.0
CALDERON,11.0,23947.0,3772812761,158465.7,0.0,0.0,0,0.0,0.0,0.0
